dataset_id,title,publisher_org_id,acquired_from_org_id,acquisition_method,source_tier,url,acquisition_url,licence_id,licence_statement_url,commercial_reuse,rights_review_status,retrieved,vintage,time_coverage,geographic_granularity,methodology_url,update_frequency,revises_published_values,ingestion_difficulty
datanepal-internal,DataNepal internal reference data,datanepal,datanepal,manual_entry,A,https://github.com/RDhamala/datanepal,,cc0-1.0,,permitted,reviewed_ok,,,,none,,irregular,false,trivial
cod-ab-npl,Nepal — Subnational Administrative Boundaries,ocha,hdx,aggregator_download,B,https://data.humdata.org/dataset/cod-ab-npl,,cc-by-igo-3.0,https://data.humdata.org/dataset/cod-ab-npl,permitted_with_attribution,reviewed_ok,2026-08-23,2024,2024,mixed,,irregular,true,easy
cod-ps-npl,Nepal — Subnational Population Statistics,unfpa,hdx,aggregator_download,B,https://data.humdata.org/dataset/cod-ps-npl,,cc-by-igo-3.0,https://data.humdata.org/dataset/cod-ps-npl,permitted_with_attribution,reviewed_ok,2026-08-23,2023,2023,district,,annual,true,easy
nso-nphc-2021,Nepal — National Population and Housing Census 2021,nso,nso,official_download,A,https://censusresults.nsonepal.gov.np/,,nso-official-statistics,https://censusresults.nsonepal.gov.np/how-to-use,permitted_with_attribution,reviewed_ok,2026-08-23,2021,2021,local_unit,,decennial,false,hard
wikidata-np-places,Wikidata — Nepal local units,wikidata,wikidata,official_api,D,https://query.wikidata.org,,cc0-1.0,https://www.wikidata.org/wiki/Wikidata:Licensing,permitted,reviewed_ok,2026-08-23,2026,2026,municipality,,irregular,false,easy
worldbank-npl,World Bank World Development Indicators — Nepal,worldbank,worldbank,official_api,B,https://data.worldbank.org/country/nepal,https://api.worldbank.org/v2/country/NPL/indicator/FP.CPI.TOTL.ZG?format=json,cc-by-4.0,https://datacatalog.worldbank.org/public-licenses,permitted_with_attribution,reviewed_ok,2026-08-23,1960-2024,1960-2024,country,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392,quarterly,true,trivial
